#,Company,Symbol,Weight,Price,Change,,,,,,,,,,,,,,,,,#
230,Fortive Corp.,FTV,0.096703,78.45,0.00 (0.00%),,,,,,,,,,,,,,,,,
231,Tyson Foods Inc. Class A,TSN,0.09652,80.98,0.00 (0.00%),,,,,,,,,,,,,,,,,
232,Regeneron Pharmaceuticals Inc.,REGN,0.094847,309,-0.18 (-0.06%),,,,,,,,,,,,,,,,,
233,Cerner Corporation,CERN,0.094627,73.34,0.23 (0.31%),,,,,,,,,,,,,,,,,
234,LyondellBasell Industries NV,LYB,0.094141,85.34,0.00 (0.00%),,,,,,,,,,,,,,,,,
235,IHS Markit Ltd.,INFO,0.093786,65.46,0.00 (0.00%),,,,,,,,,,,,,,,,,
236,Digital Realty Trust Inc.,DLR,0.093539,111.53,0.00 (0.00%),,,,,,,,,,,,,,,,,
237,DTE Energy Company,DTE,0.093047,129.37,0.00 (0.00%),,,,,,,,,,,,,,,,,
238,Synchrony Financial,SYF,0.092816,36.33,-0.27 (-0.74%),,,,,,,,,,,,,,,,,
239,Microchip Technology Incorporated,MCHP,0.09268,98.42,0.31 (0.32%),,,,,,,,,,,,,,,,,
240,Parker-Hannifin Corporation,PH,0.0924,174.89,0.00 (0.00%),,,,,,,,,,,,,,,,,
241,Stanley Black & Decker Inc.,SWK,0.092171,152.4,0.00 (0.00%),,,,,,,,,,,,,,,,,
242,KLA Corporation,KLAC,0.091996,139.45,0.00 (0.00%),,,,,,,,,,,,,,,,,
243,VeriSign Inc.,VRSN,0.091471,216.58,0.00 (0.00%),,,,,,,,,,,,,,,,,
244,Edison International,EIX,0.090995,70.95,0.00 (0.00%),,,,,,,,,,,,,,,,,
245,Archer-Daniels-Midland Company,ADM,0.090988,40.59,0.00 (0.00%),,,,,,,,,,,,,,,,,
246,Pioneer Natural Resources Company,PXD,0.090847,134.74,-0.94 (-0.69%),,,,,,,,,,,,,,,,,
247,M&T Bank Corporation,MTB,0.090196,164.95,0.00 (0.00%),,,,,,,,,,,,,,,,,
